id,Study_Hours,Sleep_Hours,Attendance_Percentage,Previous_Score,Internet_Usage,Social_Activity_Level,Performance_Score,Pass_Fail
142,3.37,7.05,96.75,70.24,7.14,5,66.32,1
143,1.16,7.42,95.8,45.87,1.09,2,43.71,1
144,4.48,7.44,91.28,58.87,5.84,3,46.21,1
145,1.04,4.65,61.02,44.95,1.57,4,15.99,0
146,7.59,7.94,84.67,63.14,0.12,2,83.51,1
147,6.57,6.18,79.33,70.95,3.06,1,70.77,1
148,5.72,5.66,84.17,57.58,7.0,5,68.9,1
149,2.17,5.82,89.08,50.44,2.02,5,52.91,1
150,5.92,7.2,71.27,58.78,1.17,1,59.34,1
151,3.32,6.86,83.42,58.76,1.24,5,57.01,1
152,2.87,8.23,85.84,93.23,3.71,4,58.94,1
153,7.11,6.66,84.07,67.31,2.99,3,73.72,1
154,5.87,7.92,88.55,65.61,0.9,2,59.04,1
155,2.18,6.88,82.51,69.92,2.74,1,55.49,1
156,2.75,7.87,76.59,56.96,1.13,3,64.94,1
157,4.35,6.76,93.42,58.16,0.26,1,69.52,1
158,1.78,6.84,99.02,42.15,7.48,2,32.63,0
159,2.3,9.54,84.7,43.83,8.39,1,53.29,1
160,4.05,5.72,91.7,55.41,2.39,4,57.87,1
161,5.81,6.99,53.36,80.27,4.76,2,69.38,1
162,2.07,6.15,56.04,19.78,1.26,5,30.08,0
163,4.17,4.56,94.11,58.85,2.95,3,37.0,0
164,3.74,8.13,72.04,53.59,1.05,1,50.96,1
165,2.33,7.47,72.64,64.22,1.97,1,44.08,1
166,1.7,4.35,88.56,74.55,4.32,2,20.3,0
167,10.46,7.32,30.0,85.06,2.44,5,48.35,1
168,3.38,6.34,39.6,40.43,3.88,2,13.53,0
169,1.33,7.74,97.09,52.21,2.73,2,34.01,0
170,4.58,7.2,88.19,70.46,0.35,4,61.56,1
171,1.35,6.33,51.63,63.15,6.42,4,11.26,0
172,3.88,9.57,77.01,64.2,0.88,1,49.32,1
173,1.52,9.63,65.97,41.99,4.46,5,37.82,0
174,5.92,9.03,68.46,64.69,0.72,5,44.84,1
175,1.61,8.51,96.37,67.0,3.28,5,19.49,0
176,1.69,6.03,73.87,81.99,2.02,3,62.21,1
177,1.44,7.26,91.05,31.58,0.64,3,35.62,0
178,2.5,5.83,52.68,53.68,2.69,3,35.73,0
179,6.9,7.92,86.96,79.63,7.67,1,76.22,1
180,1.74,5.82,83.57,83.3,1.45,4,57.68,1
181,6.29,9.79,93.56,57.36,0.16,1,45.88,1
182,12.54,5.1,54.76,59.9,3.82,1,54.64,1
183,9.12,7.52,81.01,70.55,0.45,4,72.67,1
184,6.62,6.48,87.61,74.36,1.85,2,69.08,1
185,3.17,8.09,76.34,62.91,1.84,4,49.55,1
186,9.64,6.76,74.88,63.48,4.6,2,72.8,1
187,2.61,8.7,81.12,42.46,1.93,2,31.2,0
188,3.52,5.91,93.56,60.99,0.97,3,42.52,1
189,4.36,5.1,98.99,91.33,1.38,2,60.4,1
190,3.68,6.78,85.38,61.55,0.4,2,69.17,1
191,6.87,6.63,62.14,49.39,5.51,5,58.27,1
192,1.99,9.89,81.55,59.38,0.34,4,46.19,1
193,2.16,6.98,74.13,56.89,0.94,4,40.64,1
194,3.82,7.01,45.86,57.06,0.73,1,33.18,0
195,1.94,4.55,85.27,56.83,0.25,4,36.76,0
196,2.13,8.32,74.0,26.26,0.05,2,30.44,0
197,6.97,7.26,78.03,60.18,0.35,5,64.75,1
198,2.56,4.22,72.79,47.18,6.55,5,30.33,0
199,4.49,6.54,30.0,53.6,1.21,2,41.45,1
200,3.12,9.09,41.46,36.35,1.11,5,33.01,0
201,4.3,5.6,85.78,100.0,0.88,5,53.65,1
202,2.65,6.16,59.63,61.83,0.42,2,48.84,1
203,1.56,5.85,92.85,68.74,4.65,5,24.83,0
204,2.38,5.86,84.05,52.34,2.7,1,48.9,1
205,3.56,7.29,91.66,73.13,0.59,1,53.22,1
206,2.21,7.67,88.24,89.34,2.81,1,62.99,1
207,6.79,5.79,79.13,85.87,1.86,3,75.46,1
208,4.03,7.02,63.71,41.98,2.61,2,64.21,1
209,1.38,6.27,61.2,61.6,3.91,3,28.49,0
210,3.87,5.72,83.78,73.53,1.83,4,67.84,1
211,6.65,7.92,65.01,73.76,4.76,3,53.08,1
212,1.86,8.64,89.94,31.9,5.25,5,38.54,0
213,2.68,8.37,87.13,64.41,0.42,2,55.14,1
214,5.27,6.0,97.84,58.34,2.34,5,61.1,1
215,2.0,7.07,85.54,49.85,0.26,5,33.83,0
216,4.09,6.61,57.15,74.4,3.38,5,59.49,1
217,6.2,8.83,30.0,99.35,3.79,1,53.66,1
218,2.24,5.86,81.69,68.04,0.07,5,51.31,1
219,4.75,5.76,74.78,60.95,4.44,5,62.93,1
220,2.07,6.84,79.32,31.19,1.9,1,49.96,1
221,2.8,5.57,86.86,42.67,0.27,1,39.88,0
222,0.83,7.39,84.96,61.04,2.06,1,34.3,0
223,3.41,7.79,81.18,55.64,1.28,3,48.93,1
224,12.12,7.9,69.67,65.56,2.32,5,83.98,1
225,3.93,9.13,92.65,69.73,2.77,5,64.37,1
226,10.61,8.24,94.13,78.35,0.11,3,81.87,1
227,6.16,6.48,78.68,62.93,3.16,1,54.81,1
228,2.99,5.26,90.67,64.17,3.52,2,44.05,1
229,2.84,3.78,72.72,43.6,4.09,3,26.17,0
230,3.77,4.88,89.08,49.91,1.79,5,29.52,0
231,11.75,7.59,92.67,87.32,2.53,1,75.77,1
232,2.52,6.29,86.85,38.37,1.43,2,39.41,0
233,3.37,6.36,74.15,64.71,3.0,5,51.33,1
234,3.1,5.67,90.26,61.89,0.44,1,42.8,1
235,7.09,7.1,59.26,48.7,3.37,3,58.85,1
236,3.29,6.95,94.97,46.92,0.64,4,60.93,1
237,5.23,7.29,90.96,67.71,12.0,3,65.16,1
238,2.06,6.43,97.2,83.66,4.02,4,60.46,1
239,8.12,8.71,68.89,65.34,1.74,5,66.48,1
240,6.73,8.07,89.74,85.55,0.9,4,63.57,1
241,0.84,7.27,89.69,67.81,5.55,2,44.54,1
242,2.03,10.5,87.61,45.65,0.75,5,42.94,1
243,3.5,9.01,59.28,80.95,2.04,2,50.98,1
244,3.54,6.57,86.68,100.0,0.79,3,70.72,1
245,5.44,4.78,89.63,75.21,0.51,5,50.27,1
246,2.66,7.17,95.32,60.48,2.46,3,64.52,1
247,7.77,6.96,57.03,89.46,1.39,1,66.06,1
248,2.77,8.02,90.87,53.79,0.68,1,62.4,1
249,2.34,7.71,96.18,70.01,0.57,2,53.28,1
250,4.76,8.01,63.4,53.24,0.87,4,45.67,1
251,1.53,6.99,66.23,75.44,0.8,5,36.26,0
252,1.1,6.8,69.79,59.48,4.59,1,38.51,0
253,1.69,7.49,75.98,69.61,2.02,4,39.15,0
254,4.24,8.11,43.9,90.63,1.16,5,38.67,0
255,3.25,7.33,69.08,70.43,1.55,5,51.39,1
256,2.32,7.98,91.29,60.37,2.38,3,52.57,1
257,10.3,7.58,81.22,64.83,2.7,4,58.15,1
258,3.33,8.21,74.82,42.28,1.0,4,50.21,1
259,6.25,6.41,87.64,72.5,0.51,2,71.03,1
260,2.63,9.05,93.5,86.98,0.67,5,64.59,1
261,5.88,4.37,55.82,52.85,2.18,1,34.09,0
262,4.0,6.14,84.99,49.11,7.52,5,49.85,1
263,5.3,5.67,68.82,66.53,0.86,5,46.4,1
264,1.75,4.88,76.25,83.29,1.26,3,18.72,0
265,1.81,11.08,73.19,63.54,0.94,4,46.85,1
266,3.16,7.75,97.21,73.37,6.42,5,61.2,1
267,7.23,7.51,67.83,87.91,4.96,1,75.15,1
268,5.86,8.91,99.82,54.29,0.73,3,53.74,1
269,3.89,7.5,77.04,61.47,0.51,4,59.77,1
270,1.72,7.1,79.91,54.98,3.79,4,49.02,1
271,1.65,7.92,71.84,53.69,2.31,5,38.26,0
272,4.15,6.43,96.35,45.47,4.73,1,46.07,1
273,2.03,6.29,72.27,63.12,1.52,3,53.4,1
274,4.01,6.78,96.6,62.28,1.88,2,69.21,1
275,2.7,6.2,87.2,57.76,0.33,3,61.6,1
276,2.0,6.58,75.43,39.43,4.11,2,36.81,0
277,3.82,6.47,77.22,56.74,3.52,2,57.19,1
278,1.58,7.06,74.64,54.7,2.08,3,40.77,1
279,6.23,9.12,84.06,76.2,0.41,5,66.69,1
280,2.52,5.04,70.56,43.62,0.89,1,40.43,1
281,10.11,5.7,94.11,74.92,1.24,1,75.69,1
282,3.11,4.97,69.68,84.81,0.32,5,37.46,0
283,2.46,8.38,88.18,37.79,0.3,3,45.7,1
284,1.95,8.59,92.13,59.44,2.46,2,37.09,0
285,2.16,5.14,64.26,46.56,4.15,1,41.41,1
286,2.21,6.97,79.97,64.4,0.42,4,52.29,1
287,3.18,7.01,70.76,53.68,9.07,2,39.73,0
288,2.35,7.9,90.47,58.32,0.93,4,56.79,1
289,2.56,8.47,73.18,53.49,2.44,1,40.69,1
290,1.37,5.74,98.19,39.05,1.47,2,40.5,1
291,3.76,8.9,69.25,67.31,2.02,1,52.94,1
292,2.13,9.47,96.88,61.7,9.21,3,59.67,1
293,1.58,5.87,91.97,66.09,0.77,4,36.62,0
294,4.03,8.36,53.08,63.74,8.02,2,58.3,1
295,1.73,4.76,78.48,76.07,1.46,1,25.64,0
296,1.7,8.1,55.78,45.06,1.67,2,31.93,0
297,3.32,8.78,90.13,63.14,1.44,4,53.87,1
298,6.37,7.65,56.13,53.04,1.21,4,53.78,1
299,3.11,5.05,80.22,67.08,0.42,2,49.12,1
300,5.15,5.58,87.53,61.47,4.06,5,52.12,1
301,2.87,9.29,82.88,42.85,1.7,2,41.16,1
302,7.71,7.78,61.52,79.28,0.42,5,70.35,1
303,3.72,6.17,94.44,46.96,3.01,5,50.81,1
304,2.56,8.04,70.1,60.82,3.97,2,55.08,1
305,14.35,6.36,73.73,100.0,3.16,1,91.63,1
306,5.27,6.51,83.07,100.0,3.26,3,57.22,1
307,4.46,5.62,95.52,58.45,0.73,2,52.1,1
308,4.26,7.06,87.33,64.16,2.88,2,50.79,1
309,9.77,6.66,73.21,58.25,4.09,1,57.1,1
310,2.37,6.33,70.25,28.67,6.9,5,38.28,0
311,2.63,5.28,89.01,60.65,0.0,3,48.38,1
312,1.95,6.59,63.5,53.69,0.31,2,27.71,0
313,6.61,7.68,92.44,72.8,0.07,2,75.38,1
314,3.01,6.49,69.02,45.89,0.39,3,52.09,1
315,4.31,8.18,92.4,73.75,0.05,1,55.36,1
316,1.48,6.26,70.65,42.53,1.49,1,42.18,1
317,4.09,8.16,87.75,45.42,4.38,4,60.92,1
318,2.25,7.16,75.44,49.3,2.11,2,59.54,1
319,2.99,5.03,99.58,45.22,0.09,1,42.42,1
320,6.58,7.06,97.87,67.22,2.06,5,74.32,1
321,4.27,6.12,70.49,62.16,1.63,3,56.67,1
322,1.73,7.98,88.13,65.45,0.02,1,49.51,1
323,5.19,6.92,65.08,85.16,0.22,1,79.4,1
324,2.61,6.88,52.13,76.48,1.62,5,59.19,1
325,3.43,7.3,69.75,89.73,2.23,1,67.06,1
326,3.87,4.35,47.71,53.77,5.29,5,9.09,0
327,1.85,3.8,64.26,40.51,11.98,2,9.06,0
328,3.2,7.71,94.12,43.65,1.19,1,54.21,1
329,5.06,5.03,81.76,54.97,0.76,3,56.56,1
330,4.04,6.88,73.01,77.45,3.02,4,56.35,1
331,2.57,6.18,75.87,78.95,0.35,2,73.67,1
332,2.59,4.03,95.08,28.48,1.74,3,3.44,0
333,1.61,6.44,61.15,22.99,1.28,3,12.65,0
334,9.63,7.66,86.03,95.54,1.87,4,85.09,1
335,2.29,8.11,74.37,26.37,0.2,2,41.03,1
336,1.19,7.27,93.04,63.8,8.22,5,30.51,0
337,7.05,8.14,89.13,74.26,3.75,5,72.41,1
338,6.03,9.33,81.89,68.38,2.64,2,68.54,1
339,1.21,8.02,83.64,49.45,0.65,4,38.3,0
340,2.77,7.25,44.86,79.54,0.62,1,44.97,1
341,5.06,6.68,80.88,58.59,0.19,5,63.63,1
342,4.0,5.08,88.68,27.92,1.18,2,33.37,0
343,2.81,7.39,86.05,50.1,1.79,5,29.83,0
344,4.01,7.67,54.06,52.53,3.83,2,42.57,1
345,8.7,6.39,52.47,72.85,1.16,3,69.04,1
346,1.24,7.76,73.74,46.41,0.2,5,39.35,0
347,3.09,3.96,59.78,90.95,2.22,4,49.46,1
348,5.01,7.14,73.42,69.98,0.33,3,69.61,1
349,5.67,9.34,85.75,79.58,1.88,4,69.78,1
350,3.22,7.04,76.83,54.32,4.89,4,63.74,1
351,5.97,6.24,58.84,80.04,1.63,1,64.36,1
352,7.84,7.27,86.71,51.76,0.06,2,66.84,1
353,2.26,8.26,92.11,19.98,3.25,1,41.29,1
354,5.24,7.96,33.9,46.01,3.41,4,41.76,1
355,2.58,8.64,83.26,60.45,4.3,4,33.77,0
356,0.82,7.13,96.39,59.55,3.35,2,33.32,0
357,2.85,7.85,83.89,46.38,0.79,3,46.8,1
358,7.1,10.12,78.48,83.04,2.2,1,55.21,1
359,4.02,8.08,65.75,51.83,6.27,1,36.63,0
360,5.8,3.16,91.27,74.16,4.84,5,53.07,1
361,3.86,6.3,88.06,70.95,0.34,5,47.61,1
362,2.64,7.19,38.35,59.83,0.83,5,10.58,0
363,3.38,7.19,82.53,61.06,0.06,1,45.04,1
364,1.94,8.19,58.4,49.33,10.07,5,30.17,0
365,11.29,8.57,74.88,46.42,6.19,5,66.47,1
366,3.29,7.99,85.36,57.01,1.21,3,57.7,1
367,4.57,9.84,88.65,87.09,3.18,2,65.79,1
368,8.39,5.4,82.91,75.89,8.48,2,77.46,1
369,11.37,6.65,87.22,100.0,1.2,2,88.72,1
370,2.6,9.09,71.2,46.92,2.32,4,39.35,0
371,2.1,8.25,53.9,62.43,4.88,3,55.06,1
372,3.13,8.53,84.58,76.37,1.23,2,50.65,1
373,2.88,7.39,90.98,57.13,1.86,4,62.43,1
374,6.32,6.86,61.81,73.38,5.58,3,82.15,1
375,5.49,9.49,58.08,88.07,4.91,4,53.09,1
376,1.16,7.98,89.71,63.21,1.95,3,50.76,1
377,1.93,6.3,76.84,70.44,1.64,1,34.66,0
378,1.09,8.39,87.08,40.71,4.59,1,26.41,0
379,1.8,9.07,87.96,44.21,2.79,1,46.51,1
380,5.27,9.59,41.43,86.67,2.89,1,47.29,1
381,2.89,5.63,62.04,90.11,0.71,3,43.2,1
382,2.5,5.42,89.75,60.81,5.86,3,51.87,1
383,1.38,6.99,76.41,42.6,3.19,2,39.35,0
384,4.03,10.43,73.66,39.41,1.15,4,39.27,0
385,7.14,6.73,98.29,92.42,0.08,5,88.86,1
386,2.88,6.86,55.35,33.52,1.8,1,47.06,1
387,5.07,7.9,82.72,72.75,5.72,3,64.37,1
388,4.37,8.77,66.34,44.41,2.59,5,60.45,1
389,2.94,7.49,92.0,44.42,0.14,5,37.98,0
390,3.74,4.14,72.67,67.75,2.43,5,41.05,1
391,2.88,6.95,98.25,72.5,1.83,2,51.83,1
392,3.61,8.53,79.86,43.04,0.5,2,52.49,1
393,3.96,7.89,74.58,56.97,4.25,3,53.51,1
394,1.73,4.99,78.44,29.6,2.62,4,5.87,0
395,5.14,7.28,70.53,64.36,1.88,5,67.04,1
396,3.15,3.0,50.82,39.62,1.71,4,34.85,0
397,4.37,6.74,69.25,69.02,1.03,4,65.61,1
398,2.03,5.42,62.88,34.08,1.24,5,32.17,0
399,5.43,5.83,86.65,56.51,0.5,1,52.38,1
400,1.63,6.28,49.14,55.51,1.06,5,15.98,0
401,3.63,5.71,61.69,39.22,2.94,2,43.95,1
402,3.47,7.52,40.14,35.67,2.94,2,23.33,0
403,9.63,8.3,82.11,92.22,4.11,2,90.59,1
404,3.13,5.93,73.7,45.65,1.8,4,43.78,1
405,5.57,5.95,97.1,81.67,6.23,2,70.83,1
406,4.55,7.21,89.17,78.72,0.12,3,64.78,1
407,8.34,4.84,87.44,75.27,6.72,3,60.38,1
408,5.61,5.22,76.12,74.04,2.67,2,58.17,1
409,2.38,8.24,84.64,45.3,0.68,4,50.05,1
410,4.02,5.19,78.25,45.87,2.36,4,41.48,1
411,1.91,4.7,77.36,40.09,0.16,5,22.14,0
412,2.67,8.18,74.86,42.64,0.2,1,52.71,1
413,2.5,7.43,70.52,39.93,3.78,2,35.44,0
414,5.33,7.53,53.8,58.28,2.44,3,57.49,1
415,3.98,7.75,71.46,67.49,1.11,5,47.39,1
416,5.01,6.37,91.24,65.3,1.15,1,80.94,1
417,3.4,8.38,66.0,74.91,0.39,5,70.67,1
418,3.02,7.39,79.28,45.17,1.77,1,51.61,1
419,2.97,7.42,63.76,66.76,2.35,5,58.87,1
420,6.09,6.53,67.31,54.19,8.93,4,52.81,1
421,3.88,5.43,79.27,59.52,1.06,4,55.19,1
422,2.48,7.11,83.04,74.92,3.1,3,53.94,1
423,2.48,6.11,75.64,52.77,4.55,4,38.21,0
424,3.53,7.04,34.85,59.55,8.58,2,31.85,0
425,0.98,8.32,70.92,61.21,1.97,1,39.65,0
426,2.04,9.12,86.95,55.31,1.28,2,37.83,0
427,1.39,7.76,63.79,61.11,1.05,4,33.2,0
428,7.67,6.57,56.72,100.0,6.28,2,90.16,1
429,2.31,6.82,30.0,57.86,0.26,5,27.19,0
430,3.26,8.62,92.68,45.83,3.48,1,44.57,1
431,6.36,7.78,84.26,44.07,5.74,4,65.18,1
432,4.51,5.99,96.12,49.11,8.58,4,62.73,1
433,2.03,6.34,93.44,76.11,2.86,4,59.63,1
434,4.12,6.49,70.94,86.61,4.22,1,64.44,1
435,3.59,6.12,92.28,92.29,0.0,1,65.36,1
436,2.88,6.02,76.52,66.62,2.65,2,55.23,1
437,2.69,7.65,31.73,47.35,0.15,4,23.82,0
438,2.56,5.43,88.88,58.99,0.61,2,49.28,1
439,1.31,4.89,95.66,59.36,3.72,4,15.64,0
440,2.17,4.87,85.59,40.51,0.45,2,22.57,0
441,1.45,7.42,92.64,39.58,1.58,4,29.41,0
442,1.86,8.8,95.25,64.41,1.19,1,43.87,1
443,6.55,8.76,88.91,54.02,5.92,1,59.09,1
444,10.38,8.4,95.05,84.06,0.75,5,90.08,1
445,3.51,6.51,66.99,76.48,0.97,4,60.43,1
446,1.8,6.83,73.14,60.46,2.31,3,35.73,0
447,1.53,6.98,64.79,57.14,1.84,1,33.62,0
448,2.94,6.99,85.22,65.72,0.76,4,51.52,1
449,2.6,6.21,77.17,62.5,2.72,5,63.27,1
450,3.79,10.18,94.31,75.77,5.83,2,53.88,1
451,1.95,7.73,77.67,61.77,2.84,3,36.03,0
452,10.48,5.44,59.72,76.0,7.9,5,83.54,1
453,3.44,5.32,87.33,60.09,3.32,3,54.62,1
454,5.9,6.74,93.69,84.3,6.8,2,61.18,1
455,3.65,4.45,82.63,63.34,5.98,4,32.01,0
456,3.87,4.07,92.39,71.38,0.54,4,37.21,0
457,2.32,6.76,80.1,42.11,2.11,4,43.61,1
458,1.72,6.75,56.9,27.95,1.25,3,13.23,0
459,1.43,6.64,89.58,55.88,4.44,3,47.3,1
460,2.85,6.65,86.79,69.57,6.93,1,70.84,1
461,4.16,8.11,70.53,57.15,1.32,4,54.43,1
462,1.97,8.74,96.9,64.94,1.45,4,47.6,1
